AOD,PM2.5,ug/m3
0.196479996,32,
0.159880005,28.33333333,
0.205919998,90.66666667,
0.138600006,16.66666667,
0.272920013,47.33333333,
0.134199997,13.66666667,
0.313559998,73,
0.193240005,47.33333333,
0.90023999,76,
0.195440002,38,
0.163639999,10.66666667,
0.165679993,22,
0.390920013,74.66666667,
0.838476196,134.6666667,
0.300040009,19.33333333,
1.588680054,100.3333333,
0.426959991,57.33333333,
1.201090942,75.33333333,
0.240279999,21.66666667,
0.170440002,9,
0.159720001,36.33333333,
0.709440002,144.6666667,
0.097440002,7.666666667,
0.604375,156,
0.793679993,116,
1.809117676,69,
0.137960007,20.33333333,
0.124360001,12.66666667,
0.240119995,24,
0.215520004,79,
0.266375,24.33333333,
0.330279999,31,
0.671280029,168.3333333,
0.166240005,21.66666667,
0.901400024,118.6666667,
0.502399994,82.33333333,
0.808719971,179.9666667,
0.269079987,49.06666667,
0.671719971,82.93333333,
1.71452002,115.8666667,
0.066160004,56.13333333,
0.937400024,101.1,
0.073480003,70.06666667,
0.841880005,102.3666667,
0.149714279,30.3,
0.142,36.4,
0.175119995,17.6,
0.066480003,10.6,
0.086400002,19.16666667,
1.045956543,73.2,
0.061588234,26.06666667,
0.063919998,8.1,
1.075909058,136.5,
0.378440002,77.76666667,
0.148960007,32.13333333,
0.109239998,28.36666667,
0.132759995,90.03333333,
0.061400002,25.86666667,
0.167199997,31.43333333,
0.062040001,16.7,
0.059919998,6.333333333,
0.163800003,20.53333333,
0.959159973,119.4333333,
0.080519997,22.63333333,
0.249279999,96.36666667,
0.140399994,19.16666667,
0.089760002,22.26666667,
0.08032,9.7,
0.101959999,37.3,
0.096239998,20.6,
0.274399994,91.06666667,
0.423359985,111.7,
0.355440002,36.46666667,
0.094199997,5.966666667,
0.076879997,27.93333333,
0.496359985,89.3,
0.351040009,74,
0.140240005,43,
0.111400002,4.866666667,
0.107440002,30.7,
0.121559998,25.53333333,
0.086279999,15.86666667,
0.312119995,46.3,
0.2885,243.6,
0.256959991,34.53333333,
0.115599998,32.13333333,
0.396880005,73.7,
0.068559998,9.366666667,
0.071599998,11.26666667,
0.152350006,8.766666667,
0.115279999,15.36666667,
0.165720001,24.93333333,
0.338839996,24.93333333,
0.137479996,11.56666667,
0.24610527,35.16666667,
0.210800003,56.2,
0.125080002,9.5,
0.208954544,29,
0.125800003,23,
0.229399994,126.3333333,
0.104239998,15,
0.109599998,18.33333333,
0.376375,142.6666667,
0.323149994,28.66666667,
0.180679993,14.33333333,
0.129919998,25,
0.785799988,145.6666667,
0.194571426,18,
0.131399994,11.66666667,
0.182399994,10.66666667,
0.195960007,13.66666667,
1.392777832,243,
0.325799988,21,
0.492,162.6666667,
0.189600006,15.66666667,
0.231520004,61.66666667,
0.150199997,7,
0.448959991,57.33333333,
0.385588226,23.5,
0.170708328,13.96666667,
0.083800003,4.566666667,
0.069360001,46.9,
0.236199997,27.7,
0.166199997,18.13333333,
0.088279999,9.4,
0.10314286,16.7,
0.1043125,4.333333333,
0.103360001,26.7,
0.091519997,40.83333333,
0.109360001,42.36666667,
0.07132,9.4,
0.068559998,18.66666667,
0.10932,11.43333333,
0.086559998,4.833333333,
0.146559998,16.06666667,
0.083839996,6.4,
0.199960007,71.46666667,
0.84652002,91.4,
0.076879997,8.133333333,
0.152541672,11.83333333,
0.578640015,84.5,
0.067519997,9.433333333,
0.217199997,42.66666667,
0.086239998,23.2,
0.126599998,38.73333333,
0.206080002,81.1,
0.323777771,109.0666667,
0.338880005,24,
0.126559998,10.6,
0.123160004,25.1,
0.390519989,57.73333333,
0.113400002,33.7,
0.216240005,110.3333333,
0.139160004,6.7,
0.176960007,9.466666667,
0.126080002,18.33333333,
0.186639999,15.6,
0.347440002,148.3,
0.352,33.2,
0.285,33.5,
0.168800003,28.83333333,
0.394631592,44.46666667,
0.074519997,28,
