AOD,PM2.5
0.156240005,30.33333333
0.729039978,148.3333333
0.071559998,11
0.165166672,24
1.009200012,159.3333333
0.155199997,8.666666667
0.117818184,8.333333333
0.274200012,28.33333333
0.172315796,63.33333333
0.313200012,25.66666667
0.760400024,176.3333333
0.140119995,10.33333333
0.251960007,55.33333333
0.096599998,7.666666667
0.412200012,158.3333333
0.824880005,100.3333333
0.837799988,143.0666667
0.190555557,24.3
0.29576001,23.1
0.148304352,15.2
0.729799988,67.76666667
0.763,124.4666667
0.085760002,17.96666667
0.952719971,92.56666667
0.093619049,61.8
0.065760002,18.86666667
0.082360001,57.33333333
0.78752002,107.1666667
0.142360001,34.33333333
0.705280029,158.6666667
0.08625,7.666666667
0.126599998,14.33333333
0.126519997,15.33333333
0.152279999,9.333333333
0.201360001,24.66666667
0.168800003,57.66666667
0.307040009,25.66666667
0.67747998,169
0.158960007,12.66666667
0.219639999,58.33333333
0.088,9.666666667
0.781666687,99.33333333
0.51023999,57.33333333
0.673799988,140.0666667
0.139421051,28.96666667
0.215240005,30.13333333
0.136639999,8.5
0.177266663,44.56666667
0.495555542,62.33333333
1.196869507,115.0666667
0.068120003,33.9
0.593571411,97.26666667
0.089440002,58.23333333
0.062599998,24.96666667
0.06432,58.13333333
0.696470581,93.33333333
0.173080002,33.66666667
0.719640015,135.3333333
0.081599998,5.333333333
0.127333336,7.333333333
0.956200012,130
0.113919998,18
0.159639999,12
0.136199997,12
0.293839996,25.66666667
0.327720001,27.66666667
0.749719971,194
0.188720001,11.33333333
0.272480011,53.33333333
0.084800003,4
0.463119995,172.3333333
0.846400024,108.3333333
0.494190491,35.33333333
0.792400024,134.7666667
0.312519989,24.26666667
0.088199997,20
0.075440002,19.66666667
0.828280029,109.1
0.278079987,106.3333333
0.834320007,148.3333333
0.238279999,24
1.124319946,125
0.728640015,90.33333333
0.145800003,9.333333333
0.198199997,6
0.252199997,46.33333333
0.635799988,141.6666667
0.137160004,8.666666667
0.698280029,171.6666667
0.42323999,30.33333333
0.81347998,144.8333333
0.126,23.46666667
0.120066666,19.16666667
1.467800049,90.46666667
0.073519997,8.666666667
0.896280029,101.9
0.072349998,110.6
0.069,69.03333333
0.727200012,139.6666667
0.079839996,3
0.220960007,15
0.6115,152
0.807640015,118.6666667
1.7039375,71.33333333
0.133399994,17.66666667
0.145919998,10.66666667
0.118720001,12.66666667
0.262399994,31.66666667
0.2445,82.33333333
0.346440002,24.66666667
0.688080017,190.3333333
0.157600006,11.33333333
0.278119995,58.66666667
0.103879997,10
0.880359985,160.3333333
0.533320007,37
0.813039978,140.8333333
0.273320007,25.56666667
0.698039978,76.2
1.693160034,122.2666667
0.073,15.33333333
0.921280029,91.8
0.112440002,58.23333333
0.082279999,70.13333333
0.816913025,101.2333333
0.159399994,119
0.713,136.3333333
0.642578918,100.3333333
0.540119995,95
0.096519997,22
0.085800003,14.33333333
0.61252002,162
0.082839996,4.666666667
0.238399994,29.33333333
0.124599998,39
0.427839996,112.6666667
0.116080002,9
0.091919998,8.666666667
0.579695679,164.6666667
0.396600006,30.66666667
0.092360001,76.6
0.074040001,12.86666667
0.550400024,56.86666667
0.05416,14.86666667
0.07932,48.36666667
0.052799999,51.7
0.111919998,25.66666667
0.628555542,164.3333333
0.094785713,11.66666667
0.113480003,13.66666667
0.117875,8.333333333
0.200119995,28.66666667
0.153160004,72.66666667
0.755923096,255.6666667
0.230039993,21.66666667
0.270040009,31
0.638545471,151.3333333
0.115040001,11.33333333
0.173800003,60.66666667
0.079720001,7
0.305720001,158.3333333
0.139080002,29.43333333
0.209360001,29.13333333
0.126125,45.26666667
0.070959999,54.93333333
0.062240002,56.46666667
0.055894737,44.23333333
0.049880001,102.4666667
0.141600006,25.33333333
0.692679993,144.3333333
0.060119999,6.333333333
0.930541687,155.6666667
1.521359985,75
0.125720001,18.33333333
0.140679993,14.66666667
0.093400002,14.33333333
0.234800003,24.66666667
0.142699997,59.33333333
0.317440002,28
0.677159973,173
0.131479996,14
0.233960007,61
0.3815,163.3333333
0.789529419,109.3333333
0.784559998,170.7333333
0.145399994,26.7
0.242199997,39
0.110083336,13.36666667
0.163919998,24.86666667
0.682840027,62.2
1.474959961,122.5666667
0.06568,25.23333333
0.886679993,92.86666667
0.068,57.66666667
0.057759998,18.5
0.797400024,96.13333333
0.153277771,35
0.702840027,126.6666667
0.067959999,10
0.2035,19.33333333
0.88676001,124.6666667
2.08623999,70
0.126839996,16
0.148399994,13
0.106120003,7.666666667
0.287880005,20
0.337160004,23.66666667
0.686119995,185
0.157759995,9
0.263440002,59.33333333
0.077199997,6
0.325600006,168.6666667
0.882159973,130.3333333
0.156368423,39.53333333
0.691039978,68.56666667
1.610719971,123.0666667
0.072279999,20
0.907919983,96.16666667
0.087760002,57.46666667
0.058684212,9.533333333
0.101440002,25.66666667
0.109347824,14
0.08468,9
0.071279999,10
0.136119995,13
0.101454544,29.66666667
0.172733337,20
0.228559998,18.33333333
0.095160004,5.666666667
0.162639999,46.66666667
0.098360001,6.333333333
0.317119995,34
0.1025,39.53333333
0.100761902,12.93333333
0.095720001,10.23333333
0.072080002,37.53333333
0.129919998,25
0.785799988,145.6666667
0.194571426,18
0.131399994,11.66666667
0.182399994,10.66666667
0.195960007,13.66666667
1.392777832,243
0.325799988,21
0.492,162.6666667
0.189600006,15.66666667
0.231520004,61.66666667
0.150199997,7
0.448959991,57.33333333
0.385588226,23.5
0.170708328,13.96666667
0.083800003,4.566666667
0.069360001,46.9
0.159720001,36.33333333
0.709440002,144.6666667
0.097440002,7.666666667
0.604375,156
0.793679993,116
1.809117676,69
0.137960007,20.33333333
0.124360001,12.66666667
0.240119995,24
0.215520004,79
0.266375,24.33333333
0.330279999,31
0.671280029,168.3333333
0.166240005,21.66666667
0.901400024,118.6666667
0.502399994,82.33333333
0.808719971,179.9666667
0.269079987,49.06666667
0.671719971,82.93333333
1.71452002,115.8666667
0.066160004,56.13333333
0.937400024,101.1
0.073480003,70.06666667
0.841880005,102.3666667
