AOD,PM2.5
0.078559998,17.7
0.086879997,47.43333333
0.433200012,51.76666667
0.52475,57.33333333
0.314440002,76.3
0.853599976,124.8666667
0.124360001,8.333333333
1.285599976,85.03333333
3.04247998,297.9333333
0.217199997,32.4
0.078800003,7.233333333
0.159600006,21.5
0.319880005,101.7666667
0.082,3
0.945599976,63.36666667
0.087279999,5.133333333
0.096360001,8.633333333
0.736679993,124.1333333
0.208240005,3
0.102279999,4.966666667
0.466119995,76
0.168039993,43.33333333
0.112,5.433333333
0.166839996,33.13333333
0.165960007,18.66666667
0.23425,11.56666667
0.089,12.7
0.278359985,16.3
0.151933334,17.46666667
0.635799988,75.16666667
0.865919983,11.16666667
0.065279999,19.23333333
0.065760002,51.2
0.693440002,56.73333333
0.210600006,68.23333333
0.82193335,117.1666667
0.726416687,115.4
0.078400002,12.5
0.119400002,20.9
2.981320068,350.7666667
0.063639999,12.03333333
0.062040001,9.2
0.118519997,27.36666667
0.252720001,104.7666667
0.068559998,10.9
0.365559998,29.43333333
0.066,4
0.07632,12.7
0.493559998,93.9
0.098599998,7.633333333
0.089959999,5.733333333
0.430839996,65.66666667
0.129039993,37.33333333
0.090720001,5.066666667
0.109160004,20.06666667
0.119519997,23.6
0.074199997,14.33333333
0.292959991,67.46666667
0.253600006,16.66666667
0.156240005,34.83333333
0.754119995,27.3
0.078480003,13.6
0.08768,51.36666667
0.112300003,6.033333333
0.474679993,50.73333333
0.52775,47.63333333
0.891320007,131.4333333
0.121440002,12.7
0.229720001,35
0.17,19.43333333
1.407119995,102.6
3.02952002,312.7
0.224,34
0.082959999,8.4
0.171919998,16.9
0.299,93.26666667
0.078800003,5.333333333
0.922400024,54.33333333
0.081160004,7.933333333
0.103400002,13.86666667
0.782400024,117.2
0.195320007,10.6
0.10368,7.5
0.475519989,70.66666667
0.158559998,34.33333333
0.12168,8.866666667
0.174520004,26.83333333
0.165240005,18.93333333
0.207357147,12
0.093080002,15.66666667
0.277839996,11.76666667
0.146899994,18.46666667
0.65323999,60.26666667
0.919039978,24.13333333
1.123839966,103.0333333
2.970919922,206.9
0.067235291,4.8
0.577599976,48.23333333
0.796,71.53333333
0.184399994,55.23333333
0.124400002,9.466666667
0.096239998,9.2
0.121480003,8.433333333
2.987199951,258.9666667
0.088599998,6.266666667
0.199919998,29.96666667
0.142720001,23.03333333
0.083720001,5.6
