AOD,PM2.5,ug/m3
0.36523999,117,
0.123760002,17.33333333,
0.160399994,50,
0.053599998,15.66666667,
0.111599998,10.66666667,
0.284,77.66666667,
0.476041656,73.66666667,
0.163839996,10.33333333,
0.309320007,85,
0.699799988,142.3333333,
0.167199997,14,
1.003888916,201.3333333,
1.802880005,82.66666667,
0.175199997,16.33333333,
0.139039993,4,
0.600400024,155.3333333,
0.154880005,5,
0.191479996,26,
0.177679993,6,
0.892320007,143.3333333,
1.498160034,82.33333333,
0.253039993,15.66666667,
0.102519997,13.66666667,
0.28,93.66666667,
0.507359985,39,
0.190199997,14.66666667,
0.168479996,23.33333333,
0.185759995,52,
1.298428589,226,
0.715159973,85,
0.310640015,24.33333333,
0.165679993,24,
0.282279999,27,
0.172520004,10,
0.337559998,51,
1.597666626,276,
0.887840027,174.1,
0.229199997,59.2,
0.265559998,25.83333333,
0.464375,73.2,
0.86752002,85.46666667,
0.116360001,28,
0.932159973,110.6,
0.106760002,26.46666667,
0.106176468,53.73333333,
0.683823547,113.7666667,
0.461600006,25.83333333,
0.137440002,19.26666667,
0.848230774,152.3333333,
0.05868,17.1,
0.067839996,14.46666667,
0.061240002,44,
0.074199997,6.233333333,
0.61093335,82,
0.10175,10.9,
0.245320007,66.13333333,
0.747679993,118.3333333,
0.208545456,15.36666667,
0.075279999,14.63333333,
0.160119995,25.63333333,
0.118080002,20.33333333,
2.99547998,345.4333333,
0.064639999,6.8,
0.203360001,42.5,
0.069040001,14.03333333,
0.129,25.7,
0.240880005,93.53333333,
0.062360001,9.4,
0.388799988,36.76666667,
0.055919998,5.533333333,
0.087849998,15.16666667,
0.565320007,115.1333333,
0.105760002,9.766666667,
0.094839996,4.633333333,
0.419359985,75,
0.119040001,36,
0.102720001,7.633333333,
0.107480003,23.2,
0.122720001,22.8,
0.209,12.7,
0.081199997,10.76666667,
0.329125,101.4,
0.264679993,33.26666667,
0.153360001,25.16666667,
0.824599976,29.03333333,
0.088440002,9.9,
0.191199997,44.43333333,
0.12,8.933333333,
0.162240005,25.5,
0.430899994,42.26666667,
0.381799988,54.26666667,
0.085199997,12.13333333,
0.192320007,28.86666667,
0.217399994,51.83333333,
0.118720001,8.733333333,
0.368428558,96.33333333,
0.091040001,22.66666667,
0.110599998,21.33333333,
0.082,10,
0.202639999,28.33333333,
0.149,10.66666667,
0.121,13.66666667,
0.40075,167,
0.127083336,26.66666667,
0.615,126.6666667,
0.147388885,17,
0.210720001,101,
0.146960007,11.66666667,
0.232080002,12.66666667,
0.176240005,17.33333333,
1.156160034,127.6666667,
0.252440002,18.33333333,
0.175119995,11.33333333,
0.154199997,9,
0.337600006,169.3333333,
0.819571411,200.3333333,
0.165,25.33333333,
0.240960007,25.63333333,
0.106,15.46666667,
0.140622223,14.63333333,
0.085559998,14.2,
0.380640015,26.13333333,
0.0981875,35.96666667,
0.203080002,30.16666667,
0.082760002,7.6,
0.077199997,13.43333333,
0.341920013,35.56666667,
0.087480003,10.8,
0.102519997,27.56666667,
0.139440002,4.5,
0.313559998,22.03333333,
0.220600006,42.36666667,
0.554461548,97.73333333,
0.100559998,11.63333333,
0.172520004,9.066666667,
0.172639999,19.26666667,
2.79,256.5333333,
0.094800003,11.73333333,
0.201600006,43.9,
0.128800003,15.76666667,
0.113360001,38.76666667,
0.268880005,84.53333333,
0.332679993,82.66666667,
0.824599976,77.43333333,
0.135639999,11.33333333,
0.421399994,32.53333333,
0.149679993,10,
0.073360001,11.8,
0.442880005,72.6,
0.109360001,11.43333333,
0.115160004,7.866666667,
0.395839996,77,
0.252800003,76,
0.117,7.533333333,
0.120949997,13.26666667,
0.139520004,13.13333333,
0.457079987,138.3,
0.253639999,144.5666667,
0.256,22.53333333,
0.151800003,40.13333333,
0.365720001,70.86666667,
0.610359985,30.66666667,
0.135,41.93333333,
0.144039993,16.66666667,
0.32523999,55.8,
0.202,46.56666667,
0.100519997,10.3,
0.186559998,25.16666667,
0.179333328,127,
0.05248,22.33333333,
0.059360001,17.33333333,
0.049759998,8,
0.081519997,21.33333333,
0.064360001,7.333333333,
0.076,8.333333333,
0.07036364,10,
0.161639999,92.66666667,
0.287600006,45,
0.08668,10.66666667,
0.096454544,10.66666667,
0.115080002,14.66666667,
0.177083328,24.33333333,
0.123480003,8.666666667,
0.197399994,30.33333333,
0.103199997,7.333333333,
0.271640015,97.66666667,
0.147639999,19.06666667,
0.064519997,10,
0.079422226,8.3,
0.589349976,40.76666667,
0.060560001,10.76666667,
0.067440002,20.13333333,
0.325119995,19.63333333,
0.065440002,6.266666667,
