date,id,lon,lat,AOD_win1,AOD_win3,AOD_win5,PM2.5,so2,no2,co,o3,12_air,18_air,12_rh,18_rh,12_uwnd,18_uwnd,12_vwnd,18_vwnd,12_pres,18_pres
20170102,1045A,119.607,39.9358,0.269,0.2155,0.176111237,81.33333333,51,82.66666667,2.466666667,44.33333333,270.5128479,269.7344055,47.43460846,73.4488678,3.083931923,5.041293144,3.111680746,1.00084877,100252.1719,100093.375
20170102,1046A,119.5369,39.9419,0.269,0.2155,0.160396179,71.33333333,43.33333333,58.33333333,1.6,48,270.3180847,269.5465088,47.76908493,73.70966339,3.109136581,5.024861336,3.026967049,0.846162796,100133.7734,99973.53125
20170102,1051A,115.493,38.8632,0.819,0.860333313,0.857388123,241.3333333,36.66666667,138.6666667,6.866666667,22.66666667,266.1117859,264.2770081,49.02986145,86.42029572,4.16522646,4.342239857,-0.947840035,-3.824853182,95242.69531,95143.28125
20170102,1052A,115.5223,38.8957,0.819,0.860333313,0.873143433,229.6666667,83.33333333,126.6666667,5.3,20.66666667,266.1461487,264.2895203,49.12215424,86.2299881,4.143349171,4.332863808,-0.915024042,-3.804538488,95214.32031,95113.78125
20170102,1053A,115.4713,38.9108,0.819,0.860333313,0.881750122,266.6666667,24,117.6666667,7,19,266.0863342,264.2677612,49.10912323,86.66139221,4.181429386,4.349184036,-0.972144008,-3.839898586,95068.53125,94967.79688
20170102,1054A,115.4612,38.8416,0.819,0.860333313,0.857600098,233.6666667,27.33333333,95.66666667,5.533333333,33.66666667,266.0744629,264.2634583,48.96099472,86.65250397,4.188970566,4.352416039,-0.983456016,-3.846901178,95236.64063,95138
20170102,1055A,115.442,38.8756,0.819,0.860333313,0.859548096,234.6666667,17,113.6666667,7.033333333,23.33333333,266.0519409,264.255249,49.0136261,86.8528595,4.203306675,4.358560085,-1.00496006,-3.86021328,95104.54688,95004.99219
20170102,1056A,115.5214,38.8707,0.819,0.860333313,0.857198792,242.6666667,50.33333333,139.3333333,7.5,20.33333333,266.1451111,264.2891235,49.0684433,86.19927216,4.144021511,4.333151817,-0.916032016,-3.805162668,95280.38281,95180.61719
20170102,1057A,114.8985,40.8367,0.052,0.05157143,0.055556637,19,46.33333333,23.33333333,0.7,70,263.8162842,263.5235596,47.02493668,82.14432526,6.269687176,5.948084354,-1.624568224,-4.220629215,89126.82031,89017.30469
20170102,1058A,114.892,40.79481,0.054,0.057666668,0.054874306,8.333333333,21.66666667,28.33333333,0.866666667,67.33333333,263.8470154,263.5458984,47.13847733,82.54837036,6.234673023,5.921356201,-1.634333372,-4.231057644,89206.92188,89097.32813
20170102,1059A,114.8814,40.8115,0.054,0.057666668,0.054531109,20.66666667,24.33333333,24.33333333,0.833333333,67,263.8283081,263.5387573,47.05447769,82.40979004,6.25221014,5.93505764,-1.637912273,-4.224288464,89163.14844,89054.07031
20170102,1060A,114.9032,40.7688,0.054,0.057666668,0.054951347,19.33333333,27.33333333,29,0.733333333,58,263.874054,263.5556335,47.25389481,82.77431488,6.208659172,5.900525093,-1.63028717,-4.2379179,89270.80469,89160.59375
20170102,1061A,114.904,40.8725,0.052,0.05157143,0.0563004,10,26,25.66666667,0.733333333,85.33333333,263.7947083,263.4710693,46.92760468,81.79821777,6.299526215,5.960790634,-1.596293449,-4.175803185,89057.89844,88948.44531
20170102,1062A,117.9664,40.9161,0.072,0.056222221,0.052563889,32.66666667,18.66666667,42.33333333,0.6,50.33333333,265.3964233,265.0490417,57.02886581,77.19818115,4.908381462,5.694166183,0.702823281,-3.825110674,94527.53125,94312.9375
20170102,1063A,117.9525,40.9843,0.056,0.055,0.049980473,17.66666667,13,22.66666667,0.4,65,265.3100281,264.9378662,57.22525024,77.07977295,4.998409748,5.754216671,0.673141241,-3.839366913,94277.40625,94060.66406
20170102,1064A,117.963,40.9359,0.056,0.055,0.051896423,42,21.33333333,45.66666667,0.666666667,77.66666667,265.3717651,265.0173035,57.0842247,77.16468048,4.934089184,5.711524963,0.69483465,-3.828918457,94456.29688,94241.07031
20170102,1065A,117.8184,40.9733,0.037,0.046,0.049026981,15.33333333,16.66666667,15,0.5,74,265.2350159,264.8500366,57.60257339,77.03517914,5.072849751,5.759641647,0.531467199,-3.928088665,94037.85156,93822.35938
20170102,1066A,117.9384,41.0112,0.056,0.055,0.048344875,9.666666667,6.333333333,9.333333333,0.3,92,265.2702637,264.8871765,57.32732773,77.02616119,5.039615154,5.77888155,0.652444601,-3.850280285,94160.69531,93943.17969
20170102,1067A,116.6838,39.5178,0.409,0.484222229,0.528916809,235.6666667,24.66666667,92.33333333,5.433333333,34,266.5240173,264.8737488,52.70700455,80.46977997,4.001438618,4.535295963,0.053362537,-3.229606628,96062.11719,95921.50781
20170102,1068A,116.7729,39.5747,0.334,0.368333344,0.442286377,231.6666667,14.33333333,107.6666667,5.5,31.66666667,266.5070801,264.9437256,53.12669373,80.30374908,4.011742592,4.572442532,0.119773202,-3.173254728,96117.48438,95972.03125
20170102,1070A,116.7464,39.5343,0.334,0.368333344,0.47711203,253,25,121.5,5.4,29.5,266.5454102,264.9353027,52.89967346,80.20774078,3.979518175,4.539385796,0.113794535,-3.160967827,96158.39063,96015.72656
20170103,1001A,116.366,39.8673,0.655,0.751285706,0.794627014,274.3333333,23.33333333,174.6666667,5.5,13.66666667,265.0894775,263.6461182,56.79228973,59.38250351,0.11746335,-0.120553412,-2.271128893,-2.548505545,94402.125,94574.08594
20170103,1002A,116.17,40.2865,0.239,0.244111115,0.229349075,244.3333333,40.66666667,132.6666667,4.4,19.66666667,263.423584,261.6159058,55.55878067,56.90010834,0.47695455,0.239939928,-2.000183582,-2.098288059,92867.55469,93026.54688
20170103,1003A,116.434,39.9522,0.625,0.513,0.649013977,241.3333333,25.66666667,131.6666667,6.1,15,264.867981,263.34198,57.11882019,60.04546356,0.176719934,-0.093522921,-2.285670042,-2.497416973,94343.46094,94517.57031
20170103,1005A,116.473,39.9716,0.625,0.513,0.630615967,286.3333333,26,162.3333333,5.5,16.33333333,264.8387146,263.2917175,57.27743912,60.50954819,0.187233597,-0.098404922,-2.303045034,-2.492811441,94383.17969,94558.35156
20170103,1006A,116.361,39.9425,0.45,0.541142883,0.650415405,235,28.33333333,164.6666667,5.233333333,2,264.8299866,263.3199158,56.84516525,59.11829758,0.17853047,-0.065533839,-2.246428967,-2.48492527,94203.65625,94375.96094
20170103,1007A,116.315,39.9934,0.45,0.541142883,0.553921021,197,25.33333333,105,3.766666667,19,264.614502,263.0632935,56.72760773,58.37649536,0.225407317,-0.008116134,-2.204592705,-2.429412127,93973.14063,94144.66406
20170103,1008A,116.72,40.1438,0.436,0.414888886,0.454691559,130,31.33333333,78.33333333,2.5,45.33333333,264.4503479,262.7324219,57.54777527,63.74311447,0.294945896,-0.091801696,-2.412231684,-2.434819222,94447.89063,94624.35156
20170103,1009A,116.644,40.3937,0.213,0.239111115,0.209141876,120,10,65,1.866666667,49,263.4930115,261.5656433,56.27430725,62.87969589,0.507248104,0.122440033,-2.309943438,-2.219295263,93557.44531,93723.80469
20170103,1010A,116.23,40.1952,0.491,0.425666657,0.312634918,244.6666667,47,149.3333333,4.833333333,7.333333333,263.844696,262.1177368,55.93609619,57.51865005,0.397832304,0.166169703,-2.084117413,-2.223052979,93239.8125,93403.10156
20170103,1011A,116.407,40.0031,0.625,0.513,0.563636292,172,28.66666667,108.3333333,3.2,28.66666667,264.6680298,263.0994873,57.05519485,59.57557297,0.221218362,-0.044915404,-2.255867958,-2.448209524,94155.57813,94329.24219
20170103,1044A,119.6023,39.9567,0.62,0.5995,0.310147308,150,92,96,5.35,48,270.004303,268.5434265,58.59100342,88.94171143,-0.616280437,-2.206261158,-4.087494373,-3.251715183,99952.94531,100202.4688
20170103,1045A,119.607,39.9358,0.62,0.5995,0.368130035,143.6666667,78,128.3333333,5,45,270.1201782,268.67453,58.64070892,88.88096619,-0.628894389,-2.235961676,-4.099114418,-3.272098303,99981.02344,100230.2188
20170103,1046A,119.5369,39.9419,0.579,0.601,0.351359955,210,83,105.6666667,4.9,51,269.9224243,268.4613342,58.70289612,88.41091156,-0.598724484,-2.166016817,-4.056854725,-3.252731562,99868.00781,100115.6719
20170103,1057A,114.8985,40.8367,0.104,0.1025,0.101364929,43.33333333,36,46,0.833333333,53,259.545105,257.1777954,53.88742828,45.02085114,0.901427269,0.816147745,-0.517098606,-0.528543711,89168.14844,89283.91406
20170103,1058A,114.892,40.79481,0.103,0.103444443,0.102664391,33.33333333,26.66666667,36.66666667,1.1,61.33333333,259.6303101,257.293457,53.76396561,44.84451675,0.883455157,0.796827137,-0.54233706,-0.573864877,89244.45313,89361.32813
20170103,1059A,114.8814,40.8115,0.112,0.101333336,0.102327042,50.66666667,26.33333333,28.66666667,1.033333333,65,259.5723267,257.2159119,53.79658127,44.95806122,0.892324984,0.80945456,-0.521772802,-0.547375917,89201.89063,89318.21875
20170103,1060A,114.9032,40.7688,0.103,0.103444443,0.103297516,39.66666667,26,41,1.033333333,64,259.7121582,257.4053955,53.70796967,44.68639755,0.869552374,0.777987957,-0.56891489,-0.610549748,89306.32031,89424.01563
20170103,1061A,114.904,40.8725,0.104,0.1025,0.100170326,24.66666667,40,36.66666667,1.066666667,87.33333333,259.4848328,257.1337585,53.99143219,45.17042923,0.906290472,0.814979494,-0.477676541,-0.472138345,89102.46875,89217.27344
20170103,1062A,117.9664,40.9161,0.192,0.1205,0.121500961,64.33333333,71.33333333,71.33333333,2.7,23.33333333,262.2714539,259.9426575,53.20450592,75.55050659,0.83048439,-0.083157405,-3.166242361,-2.39656496,94491.77344,94670.66406
20170103,1063A,117.9525,40.9843,0.192,0.1205,0.112192673,52.66666667,72.66666667,68.66666667,2.7,24.33333333,262.1333923,259.7827454,52.69126511,75.32680511,0.916976571,-0.040548217,-3.073990345,-2.293100834,94250.75781,94426.89844
20170103,1064A,117.963,40.9359,0.192,0.1205,0.118224281,90.66666667,85,81.33333333,2.933333333,20,262.2321472,259.8970337,53.05423355,75.48950195,0.855647862,-0.070990264,-3.139990568,-2.366877079,94423.13281,94601.25
20170103,1065A,117.8184,40.9733,0.146,0.148142853,0.110653748,66,82,71.33333333,2.666666667,25,262.0627441,259.7156372,53.02250671,74.4872818,0.908490717,0.005645172,-2.978093863,-2.240939856,94019.03125,94192.13281
20170103,1066A,117.9384,41.0112,0.097,0.099666664,0.111005364,58.33333333,73,55.33333333,2.3,39.33333333,262.0712585,259.7120056,52.50508118,75.18391418,0.951047301,-0.020607105,-3.030529022,-2.247793913,94138.22656,94313.05469
20170103,1068A,116.7729,39.5747,1.2,1.1635,1.179156006,365,29.66666667,122,6.933333333,13.66666667,266.5797119,265.3398132,58.06388855,65.00211334,-0.175467938,-0.527930677,-2.551243305,-2.869913816,96012.96875,96192.60938
20170103,1070A,116.7464,39.5343,1.2,1.1635,1.188082153,378.6666667,38,125.3333333,6.7,11.33333333,266.694458,265.4926758,57.93230438,64.74681091,-0.204588473,-0.543889105,-2.546326399,-2.894650936,96052.9375,96231.67969
20170104,1011A,116.407,40.0031,1.365,1.331,1.331,224.6666667,30.66666667,135,4.1,22.33333333,266.1871033,266.0269775,62.6793251,82.65428162,-3.023073673,-2.206349373,-0.374320328,-0.17184025,94278.23438,94451.84375
20170104,1043A,119.7624,40.0181,0.513,0.443799988,0.412770996,119.6666667,60.33333333,70.33333333,3,26,270.3833008,269.6470642,79.90100098,97.04616547,-3.898581028,-3.94472599,-3.329417706,-4.184896946,100598.5234,100762.1797
20170104,1062A,117.9664,40.9161,0.313,0.297,0.264350983,57.33333333,32,75.33333333,1.666666667,19,263.3545227,262.5189514,66.66074371,75.3320694,-3.005571604,-2.67890501,-1.595873356,-1.502637744,94779.28906,94935.375
20170104,1063A,117.9525,40.9843,0.313,0.297,0.252817108,35.66666667,31.66666667,46.33333333,1.133333333,34,263.0627441,262.2488098,66.15416718,74.0098114,-2.940533876,-2.622183561,-1.484253764,-1.359997272,94538.34375,94691.69531
20170104,1064A,117.963,40.9359,0.313,0.297,0.261695068,68.66666667,37.66666667,76,1.733333333,20,263.27005,262.4404602,66.51557922,74.95110321,-2.986625433,-2.66252017,-1.56420958,-1.462212682,94710.74219,94866.03906
20170104,1065A,117.8184,40.9733,0.326,0.263888886,0.231902359,91.66666667,111,57.33333333,4.466666667,23.66666667,263.053894,262.2836304,65.79656219,73.65041351,-2.951128721,-2.596781254,-1.347284317,-1.176562786,94291.51563,94445.15625
20170104,1066A,117.9384,41.0112,0.25,0.255,0.246043732,37.33333333,31,37.66666667,0.966666667,47.33333333,262.9442139,262.1422729,65.92726898,73.45084381,-2.915204525,-2.598016739,-1.430335522,-1.290565968,94424.89063,94577.14063
20170106,1001A,116.366,39.8673,2.66,2.594199951,2.591770508,232.6666667,39.33333333,159,5.7,4.666666667,268.9457703,266.8616028,79.51223755,93.77057648,0.164172292,-0.88910085,-2.094233036,-3.53634882,94408.70313,94258.01563
20170106,1003A,116.434,39.9522,2.934,2.889857178,2.704000488,231.3333333,29,115,1.05,14,268.7965393,266.6585083,79.36141205,93.9486618,0.108534254,-0.987241387,-2.204401731,-3.607771158,94344.35156,94195.58594
20170106,1004A,116.434,39.8745,2.934,2.889857178,2.600023682,212.6666667,36.33333333,148.3333333,5.066666667,4.666666667,268.9119873,266.8720398,79.28047943,93.6506424,0.15915294,-0.927521348,-2.090073824,-3.520417929,94542.74219,94391.4375
20170106,1005A,116.473,39.9716,2.934,2.889857178,2.723405518,238,35.66666667,107,4.966666667,9.333333333,268.7581787,266.6242371,79.25415802,93.94365692,0.096632913,-1.020319343,-2.225179672,-3.617074966,94383.05469,94234.44531
20170106,1006A,116.361,39.9425,2.931,2.793666748,2.693761475,219.3333333,31,129.3333333,5.033333333,5,268.830719,266.6503906,79.59497833,94.06282806,0.113957249,-0.945418119,-2.205030203,-3.620940447,94204.39844,94056.20313
20170106,1007A,116.315,39.9934,2.412,2.74025,2.754455811,208.6666667,44,128.3333333,4.733333333,11,268.7620544,266.4859924,79.78701019,94.34568787,0.078854717,-0.963917017,-2.288280725,-3.691439152,93969.42969,93823.4375
20170106,1008A,116.72,40.1438,2.902,2.8375,2.796715576,174,45.33333333,79,3.566666667,20.66666667,268.4867859,266.2927551,79.06061554,93.17530823,0.000325827,-1.259325743,-2.437768221,-3.746870041,94455.14063,94305.46875
